condition,algorithm,snr_db,sample_id,error_m,est_x_m,est_y_m
5000Hz_3,MUSIC,5,bubble 02 5000Hz .wav,4.106322,2.833333,0.027778
5000Hz_3,MUSIC_CSDM,5,bubble 02 5000Hz .wav,1.645233,1.611111,2.666667
5000Hz_3,CBF,0,bubble 02 5000Hz .wav,0.555556,0.000000,3.555556
5000Hz_3,MVDR,0,bubble 02 5000Hz .wav,2.857873,-0.777778,0.250000
5000Hz_3,MUSIC,0,bubble 02 5000Hz .wav,2.865961,-0.166667,0.138889
5000Hz_3,MUSIC_CSDM,0,bubble 02 5000Hz .wav,2.857873,-0.777778,0.250000
5000Hz_3,CBF,-5,bubble 02 5000Hz .wav,1.921692,1.916667,3.138889
5000Hz_3,MVDR,-5,bubble 02 5000Hz .wav,2.304886,-0.500000,0.750000
5000Hz_3,MUSIC,-5,bubble 02 5000Hz .wav,2.904073,-1.083333,0.305556
5000Hz_3,MUSIC_CSDM,-5,bubble 02 5000Hz .wav,2.304886,-0.500000,0.750000
5000Hz_3,CBF,-10,bubble 02 5000Hz .wav,2.600006,1.555556,0.916667
5000Hz_3,MVDR,-10,bubble 02 5000Hz .wav,0.839790,-0.694444,2.527778
5000Hz_3,MUSIC,-10,bubble 02 5000Hz .wav,1.261062,-0.166667,1.750000
5000Hz_3,MUSIC_CSDM,-10,bubble 02 5000Hz .wav,0.839790,-0.694444,2.527778
5000Hz_3,CBF,-15,bubble 02 5000Hz .wav,0.687745,0.500000,2.527778
5000Hz_3,MVDR,-15,bubble 02 5000Hz .wav,2.011733,-1.166667,4.638889
5000Hz_3,MUSIC,-15,bubble 02 5000Hz .wav,0.114531,0.027778,2.888889
5000Hz_3,MUSIC_CSDM,-15,bubble 02 5000Hz .wav,2.011733,-1.166667,4.638889
5000Hz_3,CBF,-20,bubble 02 5000Hz .wav,1.592081,1.166667,1.916667
5000Hz_3,MVDR,-20,bubble 02 5000Hz .wav,2.078142,-0.305556,0.944444
5000Hz_3,MUSIC,-20,bubble 02 5000Hz .wav,1.504110,-1.500000,2.888889
5000Hz_3,MUSIC_CSDM,-20,bubble 02 5000Hz .wav,2.078142,-0.305556,0.944444
5000Hz_3,CBF,clean,bubble 03 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,clean,bubble 03 5000Hz .wav,0.194444,0.000000,2.805556
5000Hz_3,MUSIC,clean,bubble 03 5000Hz .wav,3.341772,1.472222,6.000000
5000Hz_3,MUSIC_CSDM,clean,bubble 03 5000Hz .wav,0.555556,0.000000,2.444444
5000Hz_3,CBF,20,bubble 03 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,20,bubble 03 5000Hz .wav,0.168966,0.027778,2.833333
5000Hz_3,MUSIC,20,bubble 03 5000Hz .wav,2.468474,-1.555556,1.083333
5000Hz_3,MUSIC_CSDM,20,bubble 03 5000Hz .wav,0.141639,0.027778,2.861111
5000Hz_3,CBF,15,bubble 03 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,15,bubble 03 5000Hz .wav,0.141639,0.027778,2.861111
5000Hz_3,MUSIC,15,bubble 03 5000Hz .wav,1.918880,1.777778,2.277778
5000Hz_3,MUSIC_CSDM,15,bubble 03 5000Hz .wav,1.826164,-0.805556,1.361111
5000Hz_3,CBF,10,bubble 03 5000Hz .wav,0.638889,0.000000,3.638889
5000Hz_3,MVDR,10,bubble 03 5000Hz .wav,0.166667,0.000000,2.833333
5000Hz_3,MUSIC,10,bubble 03 5000Hz .wav,3.077447,1.583333,0.361111
5000Hz_3,MUSIC_CSDM,10,bubble 03 5000Hz .wav,0.141639,-0.027778,2.861111
5000Hz_3,CBF,5,bubble 03 5000Hz .wav,0.611111,0.000000,3.611111
5000Hz_3,MVDR,5,bubble 03 5000Hz .wav,1.862976,0.638889,1.250000
5000Hz_3,MUSIC,5,bubble 03 5000Hz .wav,2.838367,-0.583333,0.222222
5000Hz_3,MUSIC_CSDM,5,bubble 03 5000Hz .wav,1.862976,0.638889,1.250000
5000Hz_3,CBF,0,bubble 03 5000Hz .wav,2.570608,-0.277778,0.444444
5000Hz_3,MVDR,0,bubble 03 5000Hz .wav,3.083333,1.000000,0.083333
