algorithm,signal_type,distance_m,sample_id,error_m,est_x_m,est_y_m,freq_band_Hz
MVDR,projector,1,bubble 11 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 11 11000Hz .wav,2.001735,-0.083333,3.000000,1000-12000
MUSIC_CSDM,projector,1,bubble 11 11000Hz .wav,4.362526,-0.111111,5.361111,1000-12000
CBF,projector,1,bubble 12 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 12 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 12 11000Hz .wav,1.689656,1.666667,1.277778,1000-12000
MUSIC_CSDM,projector,1,bubble 12 11000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
CBF,projector,1,bubble 13 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 13 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 13 11000Hz .wav,1.206016,-0.305556,2.166667,1000-12000
MUSIC_CSDM,projector,1,bubble 13 11000Hz .wav,0.062113,-0.027778,0.944444,1000-12000
CBF,projector,1,bubble 14 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 14 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 14 11000Hz .wav,4.228066,-0.222222,5.222222,1000-12000
MUSIC_CSDM,projector,1,bubble 14 11000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
CBF,projector,1,bubble 15 11000Hz .wav,2.838367,2.777778,1.583333,1000-12000
MVDR,projector,1,bubble 15 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 15 11000Hz .wav,1.374930,1.361111,0.805556,1000-12000
MUSIC_CSDM,projector,1,bubble 15 11000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
CBF,projector,1,bubble 16 11000Hz .wav,2.832789,2.777778,1.555556,1000-12000
MVDR,projector,1,bubble 16 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 16 11000Hz .wav,2.223784,-0.083333,3.222222,1000-12000
MUSIC_CSDM,projector,1,bubble 16 11000Hz .wav,4.306989,-0.111111,5.305556,1000-12000
CBF,projector,1,bubble 17 11000Hz .wav,2.832789,2.777778,1.555556,1000-12000
MVDR,projector,1,bubble 17 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 17 11000Hz .wav,0.931695,-0.416667,1.833333,1000-12000
MUSIC_CSDM,projector,1,bubble 17 11000Hz .wav,4.251452,-0.111111,5.250000,1000-12000
CBF,projector,1,bubble 18 11000Hz .wav,2.832789,2.777778,1.555556,1000-12000
MVDR,projector,1,bubble 18 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 18 11000Hz .wav,2.000771,-0.055556,3.000000,1000-12000
MUSIC_CSDM,projector,1,bubble 18 11000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
CBF,projector,1,bubble 19 11000Hz .wav,2.832789,2.777778,1.555556,1000-12000
MVDR,projector,1,bubble 19 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 19 11000Hz .wav,0.039284,-0.027778,0.972222,1000-12000
MUSIC_CSDM,projector,1,bubble 19 11000Hz .wav,0.062113,-0.027778,0.944444,1000-12000
CBF,projector,1,bubble 20 11000Hz .wav,2.832789,2.777778,1.555556,1000-12000
MVDR,projector,1,bubble 20 11000Hz .wav,0.141639,-0.027778,0.861111,1000-12000
MUSIC,projector,1,bubble 20 11000Hz .wav,2.001735,-0.083333,3.000000,1000-12000
MUSIC_CSDM,projector,1,bubble 20 11000Hz .wav,4.306989,-0.111111,5.305556,1000-12000
CBF,projector,2,bubble 01 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 01 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 01 11000Hz .wav,2.223784,-1.666667,3.472222,1000-12000
MUSIC_CSDM,projector,2,bubble 01 11000Hz .wav,2.479702,-0.416667,4.444444,1000-12000
CBF,projector,2,bubble 02 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 02 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 02 11000Hz .wav,1.988586,-0.416667,3.944444,1000-12000
MUSIC_CSDM,projector,2,bubble 02 11000Hz .wav,1.750220,-0.027778,0.250000,1000-12000
CBF,projector,2,bubble 03 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 03 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 03 11000Hz .wav,1.442306,-0.388889,3.388889,1000-12000
MUSIC_CSDM,projector,2,bubble 03 11000Hz .wav,1.750220,-0.027778,0.250000,1000-12000
CBF,projector,2,bubble 04 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 04 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 04 11000Hz .wav,0.722222,0.277778,1.333333,1000-12000
MUSIC_CSDM,projector,2,bubble 04 11000Hz .wav,1.750220,-0.027778,0.250000,1000-12000
CBF,projector,2,bubble 05 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 05 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 05 11000Hz .wav,1.694672,-0.027778,0.305556,1000-12000
MUSIC_CSDM,projector,2,bubble 05 11000Hz .wav,1.750220,-0.027778,0.250000,1000-12000
CBF,projector,2,bubble 06 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 06 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 06 11000Hz .wav,1.335646,0.944444,1.055556,1000-12000
MUSIC_CSDM,projector,2,bubble 06 11000Hz .wav,1.750220,-0.027778,0.250000,1000-12000
CBF,projector,2,bubble 07 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 07 11000Hz .wav,0.925046,-0.694444,1.388889,1000-12000
MUSIC,projector,2,bubble 07 11000Hz .wav,2.509857,-2.222222,0.833333,1000-12000
MUSIC_CSDM,projector,2,bubble 07 11000Hz .wav,1.777995,-0.027778,0.222222,1000-12000
CBF,projector,2,bubble 08 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 08 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 08 11000Hz .wav,1.836697,-0.111111,0.166667,1000-12000
MUSIC_CSDM,projector,2,bubble 08 11000Hz .wav,1.777995,-0.027778,0.222222,1000-12000
CBF,projector,2,bubble 09 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 09 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 09 11000Hz .wav,1.602708,0.694444,0.555556,1000-12000
MUSIC_CSDM,projector,2,bubble 09 11000Hz .wav,1.777995,-0.027778,0.222222,1000-12000
CBF,projector,2,bubble 10 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 10 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 10 11000Hz .wav,2.230021,-1.416667,0.277778,1000-12000
MUSIC_CSDM,projector,2,bubble 10 11000Hz .wav,1.777995,-0.027778,0.222222,1000-12000
CBF,projector,2,bubble 11 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 11 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 11 11000Hz .wav,2.397594,-0.416667,4.361111,1000-12000
MUSIC_CSDM,projector,2,bubble 11 11000Hz .wav,0.237333,-0.083333,1.777778,1000-12000
CBF,projector,2,bubble 12 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 12 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 12 11000Hz .wav,1.732496,-0.361111,3.694444,1000-12000
MUSIC_CSDM,projector,2,bubble 12 11000Hz .wav,0.211549,-0.083333,1.805556,1000-12000
CBF,projector,2,bubble 13 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 13 11000Hz .wav,0.982093,-0.694444,1.305556,1000-12000
MUSIC,projector,2,bubble 13 11000Hz .wav,1.186667,0.416667,0.888889,1000-12000
MUSIC_CSDM,projector,2,bubble 13 11000Hz .wav,0.475479,-0.055556,1.527778,1000-12000
CBF,projector,2,bubble 14 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 14 11000Hz .wav,0.982093,-0.694444,1.305556,1000-12000
MUSIC,projector,2,bubble 14 11000Hz .wav,2.119319,-0.388889,4.083333,1000-12000
MUSIC_CSDM,projector,2,bubble 14 11000Hz .wav,0.237333,-0.083333,1.777778,1000-12000
CBF,projector,2,bubble 15 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 15 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 15 11000Hz .wav,1.528535,-0.500000,3.444444,1000-12000
MUSIC_CSDM,projector,2,bubble 15 11000Hz .wav,2.502622,-0.388889,4.472222,1000-12000
CBF,projector,2,bubble 16 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 16 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 16 11000Hz .wav,0.789593,0.500000,1.388889,1000-12000
MUSIC_CSDM,projector,2,bubble 16 11000Hz .wav,2.452323,-0.416667,4.416667,1000-12000
CBF,projector,2,bubble 17 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 17 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 17 11000Hz .wav,1.337955,1.000000,1.111111,1000-12000
MUSIC_CSDM,projector,2,bubble 17 11000Hz .wav,2.479702,-0.416667,4.444444,1000-12000
CBF,projector,2,bubble 18 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 18 11000Hz .wav,0.982093,-0.694444,1.305556,1000-12000
MUSIC,projector,2,bubble 18 11000Hz .wav,0.598352,-0.222222,1.444444,1000-12000
MUSIC_CSDM,projector,2,bubble 18 11000Hz .wav,1.657382,-0.388889,0.388889,1000-12000
CBF,projector,2,bubble 19 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 19 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 19 11000Hz .wav,0.971825,0.500000,1.166667,1000-12000
MUSIC_CSDM,projector,2,bubble 19 11000Hz .wav,1.657382,-0.388889,0.388889,1000-12000
CBF,projector,2,bubble 20 11000Hz .wav,1.939279,1.194444,0.472222,1000-12000
MVDR,projector,2,bubble 20 11000Hz .wav,0.536478,0.500000,2.194444,1000-12000
MUSIC,projector,2,bubble 20 11000Hz .wav,1.633938,0.500000,0.444444,1000-12000
MUSIC_CSDM,projector,2,bubble 20 11000Hz .wav,2.511855,-0.444444,4.472222,1000-12000
CBF,projector,3,bubble 01 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 01 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 01 11000Hz .wav,2.439389,-1.222222,5.111111,1000-12000
MUSIC_CSDM,projector,3,bubble 01 11000Hz .wav,0.263523,-0.083333,3.250000,1000-12000
CBF,projector,3,bubble 02 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 02 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 02 11000Hz .wav,2.197256,-0.111111,0.805556,1000-12000
MUSIC_CSDM,projector,3,bubble 02 11000Hz .wav,1.583577,-0.027778,1.416667,1000-12000
CBF,projector,3,bubble 03 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 03 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 03 11000Hz .wav,0.794464,-0.638889,3.472222,1000-12000
MUSIC_CSDM,projector,3,bubble 03 11000Hz .wav,1.583577,-0.027778,1.416667,1000-12000
CBF,projector,3,bubble 04 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 04 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 04 11000Hz .wav,1.695355,-0.055556,1.305556,1000-12000
MUSIC_CSDM,projector,3,bubble 04 11000Hz .wav,1.583577,-0.027778,1.416667,1000-12000
CBF,projector,3,bubble 05 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 05 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 05 11000Hz .wav,3.383420,-2.944444,1.333333,1000-12000
MUSIC_CSDM,projector,3,bubble 05 11000Hz .wav,1.583577,-0.027778,1.416667,1000-12000
CBF,projector,3,bubble 06 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 06 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 06 11000Hz .wav,2.811462,1.388889,0.555556,1000-12000
MUSIC_CSDM,projector,3,bubble 06 11000Hz .wav,1.555804,-0.027778,1.444444,1000-12000
CBF,projector,3,bubble 07 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 07 11000Hz .wav,1.478759,0.138889,4.472222,1000-12000
MUSIC,projector,3,bubble 07 11000Hz .wav,0.801715,-0.194444,2.222222,1000-12000
MUSIC_CSDM,projector,3,bubble 07 11000Hz .wav,0.263523,-0.083333,3.250000,1000-12000
CBF,projector,3,bubble 08 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 08 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 08 11000Hz .wav,1.557786,-0.083333,4.555556,1000-12000
MUSIC_CSDM,projector,3,bubble 08 11000Hz .wav,1.583577,-0.027778,1.416667,1000-12000
CBF,projector,3,bubble 09 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 09 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 09 11000Hz .wav,1.781463,1.750000,3.333333,1000-12000
MUSIC_CSDM,projector,3,bubble 09 11000Hz .wav,1.555804,-0.027778,1.444444,1000-12000
CBF,projector,3,bubble 10 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 10 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 10 11000Hz .wav,1.950981,0.916667,1.277778,1000-12000
MUSIC_CSDM,projector,3,bubble 10 11000Hz .wav,0.263523,-0.083333,3.250000,1000-12000
CBF,projector,3,bubble 11 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 11 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 11 11000Hz .wav,0.918349,0.916667,3.055556,1000-12000
MUSIC_CSDM,projector,3,bubble 11 11000Hz .wav,0.263523,-0.083333,3.250000,1000-12000
CBF,projector,3,bubble 12 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 12 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 12 11000Hz .wav,2.424477,0.750000,0.694444,1000-12000
MUSIC_CSDM,projector,3,bubble 12 11000Hz .wav,1.764272,-0.972222,4.472222,1000-12000
CBF,projector,3,bubble 13 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 13 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 13 11000Hz .wav,1.000000,0.000000,2.000000,1000-12000
MUSIC_CSDM,projector,3,bubble 13 11000Hz .wav,1.825953,-1.000000,4.527778,1000-12000
CBF,projector,3,bubble 14 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 14 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 14 11000Hz .wav,2.895425,-0.444444,0.138889,1000-12000
MUSIC_CSDM,projector,3,bubble 14 11000Hz .wav,1.741159,-0.972222,4.444444,1000-12000
CBF,projector,3,bubble 15 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 15 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 15 11000Hz .wav,1.789243,0.833333,1.416667,1000-12000
MUSIC_CSDM,projector,3,bubble 15 11000Hz .wav,1.764272,-0.972222,4.472222,1000-12000
CBF,projector,3,bubble 16 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 16 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 16 11000Hz .wav,0.580017,-0.166667,2.444444,1000-12000
MUSIC_CSDM,projector,3,bubble 16 11000Hz .wav,2.775833,-0.861111,0.361111,1000-12000
CBF,projector,3,bubble 17 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 17 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 17 11000Hz .wav,1.024394,1.000000,3.222222,1000-12000
MUSIC_CSDM,projector,3,bubble 17 11000Hz .wav,2.775833,-0.861111,0.361111,1000-12000
CBF,projector,3,bubble 18 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 18 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 18 11000Hz .wav,2.277947,-0.027778,5.277778,1000-12000
MUSIC_CSDM,projector,3,bubble 18 11000Hz .wav,2.775833,-0.861111,0.361111,1000-12000
CBF,projector,3,bubble 19 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 19 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 19 11000Hz .wav,2.213873,-2.111111,3.666667,1000-12000
MUSIC_CSDM,projector,3,bubble 19 11000Hz .wav,0.299176,-0.111111,3.277778,1000-12000
CBF,projector,3,bubble 20 11000Hz .wav,3.058710,-2.527778,1.277778,1000-12000
MVDR,projector,3,bubble 20 11000Hz .wav,1.506416,0.138889,4.500000,1000-12000
MUSIC,projector,3,bubble 20 11000Hz .wav,1.905564,-1.138889,4.527778,1000-12000
MUSIC_CSDM,projector,3,bubble 20 11000Hz .wav,0.263523,-0.083333,3.250000,1000-12000
CBF,projector,1,bubble 01 13000Hz .wav,4.218200,0.944444,5.111111,1000-12000
MVDR,projector,1,bubble 01 13000Hz .wav,0.492223,-0.472222,1.138889,1000-12000
MUSIC,projector,1,bubble 01 13000Hz .wav,1.557786,-1.333333,0.194444,1000-12000
MUSIC_CSDM,projector,1,bubble 01 13000Hz .wav,0.833333,0.000000,0.166667,1000-12000
CBF,projector,1,bubble 02 13000Hz .wav,1.197348,-1.194444,0.916667,1000-12000
MVDR,projector,1,bubble 02 13000Hz .wav,3.015521,1.555556,3.583333,1000-12000
MUSIC,projector,1,bubble 02 13000Hz .wav,0.667245,-0.027778,0.333333,1000-12000
MUSIC_CSDM,projector,1,bubble 02 13000Hz .wav,0.833333,0.000000,0.166667,1000-12000
CBF,projector,1,bubble 03 13000Hz .wav,0.629766,-0.472222,0.583333,1000-12000
MVDR,projector,1,bubble 03 13000Hz .wav,2.250686,-0.055556,3.250000,1000-12000
MUSIC,projector,1,bubble 03 13000Hz .wav,0.722222,0.000000,0.277778,1000-12000
MUSIC_CSDM,projector,1,bubble 03 13000Hz .wav,2.278455,-0.055556,3.277778,1000-12000
CBF,projector,1,bubble 04 13000Hz .wav,2.243819,2.083333,1.833333,1000-12000
MVDR,projector,1,bubble 04 13000Hz .wav,2.494748,-0.805556,3.361111,1000-12000
MUSIC,projector,1,bubble 04 13000Hz .wav,2.560985,1.055556,3.333333,1000-12000
MUSIC_CSDM,projector,1,bubble 04 13000Hz .wav,2.222917,-0.055556,3.222222,1000-12000
CBF,projector,1,bubble 05 13000Hz .wav,2.742554,-2.722222,0.666667,1000-12000
MVDR,projector,1,bubble 05 13000Hz .wav,2.389858,-0.805556,3.250000,1000-12000
MUSIC,projector,1,bubble 05 13000Hz .wav,0.733880,-0.361111,0.361111,1000-12000
MUSIC_CSDM,projector,1,bubble 05 13000Hz .wav,3.556532,0.083333,4.555556,1000-12000
CBF,projector,1,bubble 06 13000Hz .wav,0.862454,-0.222222,1.833333,1000-12000
MVDR,projector,1,bubble 06 13000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
MUSIC,projector,1,bubble 06 13000Hz .wav,0.662603,0.555556,1.361111,1000-12000
MUSIC_CSDM,projector,1,bubble 06 13000Hz .wav,3.419488,0.138889,4.416667,1000-12000
CBF,projector,1,bubble 07 13000Hz .wav,0.931695,-0.416667,1.833333,1000-12000
MVDR,projector,1,bubble 07 13000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
MUSIC,projector,1,bubble 07 13000Hz .wav,2.291456,1.166667,2.972222,1000-12000
MUSIC_CSDM,projector,1,bubble 07 13000Hz .wav,5.007710,-0.277778,6.000000,1000-12000
CBF,projector,1,bubble 08 13000Hz .wav,3.018590,2.916667,1.777778,1000-12000
MVDR,projector,1,bubble 08 13000Hz .wav,2.260947,2.027778,0.000000,1000-12000
MUSIC,projector,1,bubble 08 13000Hz .wav,2.724489,-0.111111,3.722222,1000-12000
MUSIC_CSDM,projector,1,bubble 08 13000Hz .wav,5.006246,-0.250000,6.000000,1000-12000
CBF,projector,1,bubble 09 13000Hz .wav,3.038462,-2.805556,2.166667,1000-12000
MVDR,projector,1,bubble 09 13000Hz .wav,2.406909,-0.777778,3.277778,1000-12000
MUSIC,projector,1,bubble 09 13000Hz .wav,4.084184,-0.083333,5.083333,1000-12000
MUSIC_CSDM,projector,1,bubble 09 13000Hz .wav,5.007710,-0.277778,6.000000,1000-12000
CBF,projector,1,bubble 10 13000Hz .wav,0.473039,0.305556,0.638889,1000-12000
MVDR,projector,1,bubble 10 13000Hz .wav,2.473626,-0.083333,3.472222,1000-12000
MUSIC,projector,1,bubble 10 13000Hz .wav,4.684160,-2.611111,4.888889,1000-12000
MUSIC_CSDM,projector,1,bubble 10 13000Hz .wav,2.195148,-0.055556,3.194444,1000-12000
CBF,projector,1,bubble 11 13000Hz .wav,0.871797,0.333333,0.194444,1000-12000
MVDR,projector,1,bubble 11 13000Hz .wav,2.442234,-0.805556,3.305556,1000-12000
MUSIC,projector,1,bubble 11 13000Hz .wav,4.667989,-0.111111,5.666667,1000-12000
MUSIC_CSDM,projector,1,bubble 11 13000Hz .wav,2.222917,-0.055556,3.222222,1000-12000
CBF,projector,1,bubble 12 13000Hz .wav,1.105891,1.083333,1.222222,1000-12000
MVDR,projector,1,bubble 12 13000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
MUSIC,projector,1,bubble 12 13000Hz .wav,0.733354,0.305556,0.333333,1000-12000
MUSIC_CSDM,projector,1,bubble 12 13000Hz .wav,0.168966,-0.027778,0.833333,1000-12000
CBF,projector,1,bubble 13 13000Hz .wav,0.388889,0.000000,0.611111,1000-12000
MVDR,projector,1,bubble 13 13000Hz .wav,2.278455,-0.055556,3.277778,1000-12000
MUSIC,projector,1,bubble 13 13000Hz .wav,5.019791,1.138889,5.888889,1000-12000
MUSIC_CSDM,projector,1,bubble 13 13000Hz .wav,2.167379,-0.055556,3.166667,1000-12000
CBF,projector,1,bubble 14 13000Hz .wav,0.897527,0.333333,0.166667,1000-12000
MVDR,projector,1,bubble 14 13000Hz .wav,2.328202,-0.777778,3.194444,1000-12000
MUSIC,projector,1,bubble 14 13000Hz .wav,3.194927,-0.055556,4.194444,1000-12000
MUSIC_CSDM,projector,1,bubble 14 13000Hz .wav,2.380638,-0.777778,3.250000,1000-12000
CBF,projector,1,bubble 15 13000Hz .wav,0.388889,0.000000,0.611111,1000-12000
MVDR,projector,1,bubble 15 13000Hz .wav,2.275914,-0.777778,3.138889,1000-12000
MUSIC,projector,1,bubble 15 13000Hz .wav,1.337955,1.000000,0.111111,1000-12000
MUSIC_CSDM,projector,1,bubble 15 13000Hz .wav,2.250686,-0.055556,3.250000,1000-12000
CBF,projector,1,bubble 16 13000Hz .wav,1.301708,-0.833333,0.000000,1000-12000
MVDR,projector,1,bubble 16 13000Hz .wav,2.195148,-0.055556,3.194444,1000-12000
MUSIC,projector,1,bubble 16 13000Hz .wav,5.001234,-0.111111,6.000000,1000-12000
MUSIC_CSDM,projector,1,bubble 16 13000Hz .wav,2.111842,-0.055556,3.111111,1000-12000
CBF,projector,1,bubble 17 13000Hz .wav,0.933763,0.361111,0.138889,1000-12000
MVDR,projector,1,bubble 17 13000Hz .wav,2.249829,-0.777778,3.111111,1000-12000
MUSIC,projector,1,bubble 17 13000Hz .wav,5.001234,-0.111111,6.000000,1000-12000
MUSIC_CSDM,projector,1,bubble 17 13000Hz .wav,2.338123,-2.277778,1.527778,1000-12000
CBF,projector,1,bubble 18 13000Hz .wav,1.284103,-0.805556,0.000000,1000-12000
MVDR,projector,1,bubble 18 13000Hz .wav,2.556310,-0.833333,3.416667,1000-12000
MUSIC,projector,1,bubble 18 13000Hz .wav,2.943003,-2.777778,1.972222,1000-12000
MUSIC_CSDM,projector,1,bubble 18 13000Hz .wav,2.167379,-0.055556,3.166667,1000-12000
CBF,projector,1,bubble 19 13000Hz .wav,0.353553,0.250000,0.750000,1000-12000
MVDR,projector,1,bubble 19 13000Hz .wav,2.167379,-0.055556,3.166667,1000-12000
MUSIC,projector,1,bubble 19 13000Hz .wav,0.562457,0.194444,1.527778,1000-12000
MUSIC_CSDM,projector,1,bubble 19 13000Hz .wav,2.095152,2.083333,1.222222,1000-12000
CBF,projector,1,bubble 20 13000Hz .wav,1.284103,0.805556,0.000000,1000-12000
MVDR,projector,1,bubble 20 13000Hz .wav,0.492223,-0.472222,1.138889,1000-12000
MUSIC,projector,1,bubble 20 13000Hz .wav,1.598852,1.583333,0.777778,1000-12000
MUSIC_CSDM,projector,1,bubble 20 13000Hz .wav,0.805556,0.000000,0.194444,1000-12000
CBF,projector,2,bubble 01 13000Hz .wav,1.805556,-0.694444,3.666667,1000-12000
MVDR,projector,2,bubble 01 13000Hz .wav,2.934732,0.861111,4.805556,1000-12000
MUSIC,projector,2,bubble 01 13000Hz .wav,1.286804,0.694444,3.083333,1000-12000
MUSIC_CSDM,projector,2,bubble 01 13000Hz .wav,1.777995,0.861111,3.555556,1000-12000
CBF,projector,2,bubble 02 13000Hz .wav,1.779947,-0.694444,3.638889,1000-12000
MVDR,projector,2,bubble 02 13000Hz .wav,2.784575,-0.194444,4.777778,1000-12000
MUSIC,projector,2,bubble 02 13000Hz .wav,1.772562,-0.944444,0.500000,1000-12000
MUSIC_CSDM,projector,2,bubble 02 13000Hz .wav,2.705732,0.888889,4.555556,1000-12000
CBF,projector,2,bubble 03 13000Hz .wav,1.703528,-0.694444,3.555556,1000-12000
MVDR,projector,2,bubble 03 13000Hz .wav,2.756866,-0.194444,4.750000,1000-12000
MUSIC,projector,2,bubble 03 13000Hz .wav,1.967522,-1.000000,3.694444,1000-12000
